;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164
0;0;0;0.015666;0;0.009546;0.004927;0.003499;0;0.00271;0.003461;0;0.004765;0.003357;0.003057;0;0.026749;0.002815;0.004541;0;0;0.006173;0.005309;0;0;0;0.003385;0;0;0;0;0;0;0;0;0;0.003618;0;0;0;0.003446;0;0.00732;0.007973;0.002754;0.003796;0.005299;0.004422;0.003728;0.002638;0.002777;0;0;0.005531;0.009691;0;0.004803;0.004945;0;0;0;0;0.004406;0.003978;0.004641;0;0;0;0;0;0.006138;0;0;0;0.005089;0;0.00472;0;0;0.011854;0;0;0.007893;0.005063;0;0.002815;0.002806;0;0.004805;0.001889;0;0;0.002559;0;0;0.004083;0.00899;0;0.007368;0;0;0;0;0;0;0;0.004417;0.006437;0.005225;0.002454;0;0.00404;0.004336;0.006651;0.005476;0;0.004078;0;0.003342;0.004095;0.001953;0;0.013702;0;0.00289;0.00257;0;0.001924;0;0.003895;0.004336;0;0.003865;0.003799;0;0.004256;0.00444;0.003848;0.005747;0;0.004865;0;0.004556;0.003095;0.003296;0;0.003788;0.003477;0.006935;0.004568;0.004226;0.002742;0.001756;0.006743;0.00333;0.00223;0.003814;0.003592;0;0.004055;0.002172;0;0;0;0.002443;0
1;0;0;0.010449;0;0.007001;0.004156;0.002116;0;0.002119;0.002618;0;0;0;0.002659;0.003257;0.023216;0.002357;0.004366;0;0;0;0;0;0;0;0.002399;0.003212;0;0;0;0;0;0;0;0;0;0;0.004225;0;0.00297;0;0.004477;0;0.002812;0;0;0.002665;0;0;0.003582;0;0;0;0;0;0.003375;0.003648;0;0;0;0;0;0;0.003299;0;0;0;0;0;0.004825;0;0;0;0;0;0;0;0.003382;0;0;0.013288;0;0.003796;0;0;0.002388;0;0;0.001485;0;0;0.002778;0;0;0.004458;0.009132;0.009965;0.005611;0.002465;0;0.003933;0;0;0;0;0.002672;0;0.004413;0.001883;0;0;0.002667;0.005039;0.003541;0;0.003945;0;0.002732;0;0.001514;0;0;0.001525;0;0;0.002258;0.001134;0;0;0.002954;0.001937;0;0;0;0;0;0.003144;0;0.003299;0.004939;0.002856;0.002972;0.002051;0.002925;0;0.003855;0.002124;0;0.003532;0;0.001856;0.001706;0;0.002432;0;0;0.002615;0;0;0.002284;0;0.001918;0;0;0.002732
2;0.014631;0.007086;0;0.015622;0.027352;0;0;0.007695;0.012262;0;0.010309;0.011204;0.011847;0.010788;0.013648;0;0;0;0.014894;0.007257;0.017342;0;0;0;0.009731;0.01022;0;0;0;0.017546;0.015166;0.012658;0;0;0.010789;0.009031;0.01254;0;0;0.011783;0.019525;0;0;0;0.010358;0;0.011172;0.00998;0;0;0;0;0;0;0.015522;0;0.016029;0;0;0.024102;0.010825;0.012618;0.011632;0.010829;0.015928;0.011323;0;0.007389;0.015681;0;0.016714;0.018137;0.0076;0;0;0.011651;0;0;0.036358;0.048738;0.048937;0;0.020519;0.00431;0.008885;0.009689;0.040943;0;0.007826;0.019356;0.028169;0.009607;0;0;0.016568;0.04076;0;0.022328;0.012118;0;0;0;0;0;0;0.012298;0.020732;0;0.006957;0;0.015832;0.011423;0.028046;0;0;0;0.019468;0.009707;0;0.009059;0;0;0;0.008864;0.008089;0;0;0;0;0.013191;0;0;0.014528;0.007927;0;0.010109;0;0;0.01348;0.017598;0.009812;0;0;0;0.008164;0.015025;0.010038;0.017723;0;0.009646;0.009381;0.006832;0;0.008176;0.006794;0;0;0.00609;0;0.007603;0;0.007412;0;0.005513;0
3;0;0;0.015856;0;0.010578;0.004654;0;0;0.00404;0;0;0;0.00525;0.004275;0;0.027541;0.00449;0.007677;0;0;0.007601;0;0;0;0;0.004676;0.004704;0;0;0;0;0;0.008013;0;0;0.004668;0;0.007733;0;0.005723;0;0.007358;0.009143;0.00341;0.004719;0.004891;0.005598;0.005276;0;0.005036;0;0;0.007475;0;0;0.004233;0.00512;0;0;0;0;0;0;0;0;0;0;0;0;0.005737;0;0;0;0.006253;0;0.006142;0;0.005855;0.016007;0;0.021136;0;0.004485;0;0.003667;0.003937;0;0;0.002845;0;0;0.004412;0;0;0.00532;0.011793;0.014122;0.010058;0.00465;0;0.007756;0;0;0;0;0.005901;0.009592;0.007385;0.003486;0;0.007041;0;0.00706;0.005139;0;0.005809;0;0.005627;0.004788;0.003088;0;0.01594;0;0.002802;0.00362;0.005726;0.00229;0;0.003948;0.004334;0.00361;0.004809;0.004384;0;0.004721;0;0.006073;0.007478;0.005126;0.007731;0;0.005419;0.003662;0.003287;0.004433;0.00438;0.003603;0.009117;0.00617;0.004575;0.003173;0.003201;0.008153;0.004589;0.003351;0.004553;0.004673;0;0.004146;0.003194;0;0.00342;0.005071;0.003128;0
4;0.007257;0;0;0.013262;0;0;0.005241;0.004674;0.005694;0;0.006363;0.006643;0.008726;0;0.008375;0.066074;0.005374;0;0.009316;0.006701;0;0;0;0.007323;0;0.006738;0;0;0;0.012912;0;0;0.012929;0.049477;0.006775;0.005509;0.007709;0.010065;0;0.006782;0;0.013516;0;0.0058;0.00546;0;0.006533;0;0.004674;0.009081;0;0.004938;0;0.01901;0.009612;0;0.009981;0.011229;0.007331;0;0;0.009364;0.005561;0.006052;0;0.007415;0;0.004632;0;0.01029;0;0.011411;0.005679;0;0;0.00748;0;0;0.022674;0;0;0;0.011587;0.003641;0;0.005093;0.028481;0.008602;0.004552;0.012999;0.018354;0;0.008324;0;0.008462;0.021265;0;0.013216;0;0.038574;0.010858;0.011357;0;0;0.008799;0.008251;0.012142;0.011717;0.00328;0.007932;0.010496;0.008099;0.017722;0.009038;0;0.007413;0.0117;0.006056;0.007526;0.004905;0.008705;0.027007;0;0.003318;0.004651;0;0.002545;0.004264;0.00806;0;0.0046;0.007751;0;0.003939;0.007001;0.006478;0.008212;0.011032;0.008045;0.010447;0.005574;0.006805;0.004685;0.006828;0.004434;0.008899;0.005847;0.010797;0.00777;0.006605;0.005608;0.00414;0.010333;0.005061;0;0.005536;0.005538;0.003949;0.00667;0.00367;0.005064;0.004711;0.006369;0.004085;0
5;0.00334;0.00364;0;0.003725;0.010811;0;0.003285;0.002345;0.004736;0;0.004633;0.005332;0.006088;0;0;0;0.003686;0;0.006363;0.004272;0.0082;0;0;0.003838;0.003806;0.004636;0.003589;0.00601;0.002007;0.00597;0.00657;0.004139;0.007049;0.010016;0.00456;0.003549;0.004907;0.006049;0.005067;0.004733;0.007999;0.006612;0;0.004578;0;0.006096;0;0.003753;0.003752;0;0.008051;0.004288;0;0;0.004696;0;0;0.006034;0.004024;0.005477;0;0.004677;0;0.005361;0.006936;0.004797;0;0.00369;0.005578;0.006066;0.004621;0.004456;0;0.005949;0;0.003616;0.007437;0.004932;0.014495;0.016798;0.019219;0.008782;0.008209;0.002742;0.003054;0.003501;0.012134;0.004389;0.00345;0.007418;0.007466;0.003295;0.00513;0.003927;0.004922;0.013574;0;0;0.004664;0.022706;0.007345;0.007229;0;0.016869;0.006549;0;0.008942;0;0.003274;0.005208;0.005768;0.004493;0.00937;0.005462;0.002365;0;0.008019;0;0;0.003585;0.005536;0;0;0.003497;0;0.004902;0.002287;0.003331;0;0.004728;0.002874;0;0;0.003104;0;0;0.005225;0.007894;0.005688;0.007382;0.003599;0.0045;0.004373;0.004614;0;0;0.004058;0.007233;0.005318;0.003597;0.003452;0.002926;0.008609;0.003931;0.003416;0.003294;0;0;0.005083;0.002829;0.002926;0.002751;0.004922;0.002452;0.004413
6;0.004371;0.00256;0.014491;0.006204;0.008915;0;0;0.002;0.002696;0.002742;0.001969;0.003038;0.003407;0;0.003937;0;0.002251;0;0.003123;0.002239;0.005081;0.003446;0.003348;0.00283;0.002949;0.002269;0.002049;0.006155;0.001069;0.005704;0.003789;0.003317;0;0.023268;0;0.001547;0.003483;0;0.002939;0.002442;0.006368;0;0;0.002703;0;0;0.002606;0.002185;0.001987;0.004538;0.006592;0.001739;0.003898;0.008777;0.003848;0;0.004461;0.004082;0.002694;0.006487;0;0.004031;0.001873;0.002431;0.004889;0.003183;0.00316;0.001832;0.005006;0.005335;0.004941;0.005287;0.001811;0.003887;0;0;0;0.002881;0;0.011179;0;0.006317;0.005551;0.00145;0.00237;0.002855;0.01075;0.002813;0.001346;0.005139;0;0.00174;0.003742;0.002097;0.00317;0.009436;0.008499;0;0.002065;0.016537;0.00403;0;0;0;0.002953;0.002815;0.004077;0.004523;0;0;0.004224;0.003002;0.007329;0.003225;0.00131;0.002858;0.003948;0.002117;0.002765;0.00225;0.00362;0.011097;0.001314;0.001402;0.001775;0.003295;0.000922;0.001529;0.003201;0.002988;0.002036;0.00275;0.003389;0.001426;0.002317;0.001994;0.002658;0.004166;0.002333;0.003421;0.001387;0.002442;0;0.002249;0.001616;0.004316;0.002188;0.00369;0.002843;0;0.001882;0.001354;0.004731;0.001862;0.001182;0.001628;0.002205;0.001235;0.002332;0.001067;0;0.001833;0;0.001395;0
7;0;0;0.015738;0;0.007792;0.004971;0.001241;0;0.00263;0.001644;0.002413;0.002544;0.003384;0.003245;0.003915;0.025047;0.001732;0.004848;0;0.003444;0.005696;0.003367;0.002431;0.003045;0;0.002229;0.001855;0;0;0.005447;0.003778;0.003305;0.005569;0;0.002613;0.00233;0;0.004184;0.003509;0.002333;0;0.006462;0.005417;0;0;0.002871;0;0;0.001796;0.003376;0.005743;0.001886;0.003872;0.00887;0.004195;0.005055;0.003481;0.005123;0.002467;0;0.002734;0.003983;0.001823;0.001689;0;0.002847;0.004312;0;0;0.00576;0;0;0;0.003742;0.004655;0.002779;0.005304;0.002456;0.008684;0.012811;0.012916;0;0.005475;0.001232;0.002274;0.002382;0.01183;0.003433;0.001403;0.006164;0;0.001719;0.002646;0.001668;0.003976;0.009751;0.00896;0.004774;0.002367;0.017609;0.004072;0.0047;0.010899;0;0.002762;0.002167;0.004257;0.003618;0.001344;0.002132;0.003399;0.003853;0.010761;0.003697;0;0.002906;0;0.002161;0.002536;0.002399;0.003458;0.010577;0.001678;0.001667;0.00236;0;0.000994;0.001476;0.002556;0.002835;0.002018;0.003301;0.004149;0.001932;0.002255;0.002161;0.002699;0.004197;0.003068;0.003783;0.001452;0.002663;0.002421;0.002349;0.001491;0.004777;0.002781;0.003392;0;0.001958;0;0.001343;0.004679;0.002269;0.001906;0;0.001675;0.001452;0;0.001174;0;0.001784;0.002563;0.001599;0.001692
8;0.00439;0.001751;0;0.005468;0.008937;0.0047;0;0.002119;0;0.002736;0;0.003407;0;0.002592;0.003759;0.035301;0;0.005981;0.003901;0.00275;0;0;0.002693;0.002525;0.003775;0;0.00187;0.005873;0;0;0;0.003811;0;0.025116;0.003086;0.002447;0.002554;0.004253;0.003651;0;0.007034;0.007404;0.005155;0.002763;0;0.004451;0;0.002602;0;0.004787;0.006391;0;0;0.009177;0;0.003603;0.003797;0.003648;0.003281;0.007533;0.003077;0;0;0.002496;0.004334;0.002491;0.004466;0.001734;0.004453;0;0.00416;0.004119;0.001615;0.003229;0.005253;0.003501;0.006141;0.003022;0.010772;0.011116;0.011989;0.006332;0;0;0;0;0;0.004509;0;0;0.007324;0;0.003297;0.002775;0;0;0.010543;0.00612;0.001975;0;0;0.004041;0;0;0;0.003338;0;0.005808;0.001767;0.00308;0;0.003469;0;0.003321;0.001242;0;0;0.002816;0;0.002784;0;0;0.001784;0.002241;0;0;0;0.001934;0;0.002966;0;0;0;0;0;0;0.003782;0;0.003997;0.004747;0;0.003332;0.002962;0.003027;0.001914;0.004401;0.002602;0;0;0;0.002975;0;0.0049;0;0.002366;0;0.002914;0;0.003333;0;0;0;0.003135;0.001921;0
9;0.004648;0.003264;0.017004;0.006567;0;0.005009;0.002455;0;0.00224;0;0;0.003008;0;0;0.003997;0;0;0;0;0;0.005755;0;0;0;0;0.002233;0;0;0.00166;0;0.00419;0;0.005482;0.026423;0.00284;0.002165;0.00286;0;0.003653;0.00262;0;0;0;0.002734;0;0;0.00182;0.00243;0.002653;0.004921;0;0.001597;0.00495;0;0.003436;0;0.00526;0.005621;0;0.008473;0.003507;0;0.002062;0;0.005736;0.003058;0.003941;0.00226;0;0;0.005318;0;0.00221;0.004491;0.004052;0.004044;0;0;0;0;0;0;0.005277;0.001154;0.002207;0.002136;0.011099;0.003723;0.001688;0;0.008556;0.002051;0;0.002518;0.003557;0.009067;0;0.005847;0;0;0.005188;0;0.012728;0.011864;0.003745;0;0.005038;0.00467;0.001502;0;0.004188;0.003688;0.006392;0;0.001209;0.003558;0.004772;0;0.003015;0.002111;0.003319;0.010713;0;0.001916;0.002341;0.002913;0.001084;0.001712;0.003375;0;0.002293;0.003873;0.0034;0.002051;0.002317;0.002977;0.002939;0.004395;0.00294;0;0.002651;0.002475;0.002883;0.002434;0.001876;0.005036;0.002575;0.003498;0.003086;0.001805;0.002333;0.001374;0;0.002128;0.001198;0.002465;0.001882;0;0.002085;0.001799;0.001792;0.001835;0.001943;0.001665;0.002132
