;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164
0;0;0;0.011064;0;0.005691;0.003947;0.001435;0;0.003195;0.002588;0;0;0.003418;0;0.003086;0.025534;0.002984;0.004273;0.00318;0;0;0.00395;0;0;0;0.002325;0.002049;0;0.001871;0;0;0;0;0;0;0.001956;0;0;0;0.003721;0;0;0.005584;0.00249;0.002653;0.00305;0.00368;0.00298;0;0.002218;0;0.001615;0.004354;0.006946;0;0.002596;0.002447;0.00347;0;0;0;0;0.002425;0;0;0;0;0;0;0;0;0;0;0.002981;0.00384;0;0;0;0.009445;0;0.012348;0;0.005193;0;0.002171;0.002215;0;0;0.002062;0;0;0.003004;0;0.003245;0.003558;0.007626;0;0.006265;0.002584;0;0;0.00401;0;0;0;0.002504;0.004716;0.004308;0.002842;0.004441;0.003474;0.002678;0.006236;0.004257;0;0;0;0.002885;0;0.002427;0;0.010557;0;0;0.001713;0;0.002;0;0.002946;0.003307;0;0.002175;0.003404;0;0;0.002094;0.003799;0.005984;0;0.004142;0.003234;0;0.00324;0.003399;0;0.002518;0.002824;0.004119;0;0;0.002088;0.001233;0.004547;0.002927;0.002286;0;0.002524;0;0.003518;0.00193;0;0.001401;0;0;0
1;0;0;0.004565;0;0.004268;0.001801;0.000487;0;0.000657;0.001458;0.001712;0;0.002401;0.001337;0.001216;0.01541;0.000945;0.001639;0;0;0.00107;0.002835;0;0.001579;0;0.001943;0.000664;0;0.000923;0;0.002266;0;0;0;0;0.000781;0;0.002239;0;0.001776;0;0.002519;0;0.001219;0.001892;0.001747;0.001592;0.000943;0;0.001307;0;0.000889;0.002643;0;0;0.002175;0.001265;0.001564;0;0;0;0;0.00159;0.001925;0;0;0;0;0;0.001001;0;0;0;0.001804;0;0;0;0.001525;0.005472;0;0;0;0.002984;0.000307;0.00093;0.00122;0;0;0.000996;0.002319;0;0.001027;0;0;0.002825;0.003006;0.004279;0.003791;0.001001;0;0.002508;0.003032;0;0;0;0.002003;0.002462;0.003482;0.001185;0;0.002154;0.001119;0.002411;0.001643;0;0.001754;0.002798;0;0.001909;0.000728;0;0.004782;0;0.000962;0.000942;0;0.00098;0;0.0016;0.001263;0;0.001248;0.001112;0;0.001485;0.001232;0.001796;0.00258;0.001532;0.002018;0.000786;0.001025;0.001292;0.001327;0;0.001645;0.001116;0.002712;0;0;0.001135;0.001;0.002132;0.000825;0.000894;0;0.001428;0;0.001654;0.001459;0;0.000803;0;0.000727;0
2;0.007888;0.003687;0;0.004441;0;0;0.007696;0.007488;0;0;0.01358;0.015654;0.01513;0;0.016328;0;0.013147;0;0.015772;0.005466;0.016183;0;0;0;0.007806;0.016316;0;0;0.008024;0.022131;0;0.012049;0.016067;0;0;0.01114;0.014558;0;0;0.016648;0.018301;0;0.028165;0.013576;0.016958;0;0;0.009833;0.010273;0;0;0.011496;0;0.031211;0.017211;0;0;0.019172;0;0.012479;0.0076;0.01395;0.015899;0.01601;0.013385;0;0;0.00843;0.020934;0.017652;0.007264;0.014763;0.00487;0;0.023258;0.015409;0;0;0.051276;0.052402;0.058922;0;0.028138;0.006417;0.006274;0.012558;0.031518;0.014442;0.010101;0;0.014394;0.011197;0;0;0;0.055707;0;0.030937;0.013814;0;0.021223;0.01878;0;0.039591;0;0;0.029099;0;0.010367;0.018126;0.020585;0;0.033439;0.020358;0.005862;0.014578;0.023117;0.015685;0;0.011306;0.022897;0;0;0.008126;0.012431;0;0.005497;0.008326;0;0.015916;0;0;0.014845;0;0.01253;0.0118;0.01683;0.026543;0.018769;0;0.012696;0;0.014104;0.013667;0.008412;0.018225;0;0.020506;0.014884;0.008914;0.014126;0.007656;0.026333;0.012485;0.008601;0.008758;0;0.008156;0.01488;0.009787;0;0.009928;0.013768;0.008951;0
3;0;0;0.008008;0;0.006099;0.003904;0.001479;0;0.002379;0.002163;0.002704;0;0.003308;0.002066;0.003426;0.018057;0.002134;0.00383;0.003619;0;0;0.002813;0;0.002883;0;0.002308;0.001495;0;0.001527;0;0.003149;0;0;0;0;0.001711;0;0.002692;0;0.00326;0;0;0.004379;0.001494;0.003351;0.001825;0.002667;0.002858;0;0.003214;0;0.002623;0.003192;0.006238;0;0.004476;0.002082;0.003986;0;0;0;0;0.002417;0.00295;0;0;0;0;0.004092;0.003305;0;0;0;0.002388;0.004733;0;0;0.00285;0.008649;0;0;0.00514;0.004798;0;0.001071;0;0;0;0.00186;0;0;0.001855;0;0;0;0.006562;0.008153;0.005195;0.002772;0;0.004639;0;0;0;0.00377;0.0029;0.003533;0.003354;0.002343;0.003356;0.004046;0.002338;0.00614;0.004461;0;0;0;0;0;0.001843;0;0.00778;0.001933;0.00229;0.001686;0;0;0.001973;0.002416;0.003656;0;0.001764;0.002976;0;0.002867;0.001475;0.00305;0.004517;0.003628;0.002959;0.002754;0.002766;0.002945;0.002802;0;0.002401;0.001998;0.003736;0.003014;0;0.002317;0.002016;0.003445;0.002779;0.001537;0;0.002717;0;0.003575;0.001778;0;0.001656;0;0.001927;0
4;0.005656;0.002684;0;0.0064;0;0;0.006676;0.004678;0.006311;0;0.008741;0.009813;0.011043;0;0.00818;0.084787;0.006553;0;0;0.003317;0.010832;0;0.011528;0;0.005168;0.009531;0;0;0.004885;0.012744;0;0.006205;0;0;0;0.008172;0;0;0.010021;0.008133;0.012688;0;0.017522;0.009266;0.010807;0.010496;0.008272;0;0.006159;0;0;0.006061;0;0;0.008889;0;0;0.012309;0.008187;0;0.00582;0;0.009741;0.010046;0;0.007074;0;0.006828;0.012733;0.011105;0;0;0.004192;0.01042;0;0.007864;0;0;0;0;0.038636;0.015974;0.014455;0.005761;0.005097;0.007425;0;0.007508;0.005415;0.012143;0.012183;0;0;0;0.009712;0.026259;0;0.019837;0;0.035596;0.011025;0;0;0.026823;0.013464;0;0;0.017008;0.006907;0.008951;0;0.008682;0.020332;0.013004;0.005185;0.007361;0;0.009621;0.009331;0.005387;0.011078;0.032159;0.005846;0;0.00708;0;0.003771;0.005071;0.007183;0.010061;0.005643;0.009354;0.010008;0;0.006622;0.00693;0;0.01566;0.011116;0;0.00772;0;0;0.007462;0.005737;0.011928;0.008164;0.012477;0;0.006601;0.005552;0.003791;0;0.005877;0.006092;0.005949;0.010107;0.004811;0.009009;0.005611;0;0.006728;0;0.00547;0
5;0.003763;0.001198;0;0.00164;0.014037;0;0.004594;0.003661;0.005689;0.006431;0.005728;0.00783;0.006879;0.006902;0.006907;0;0.003885;0.00767;0.008858;0.002417;0.006022;0;0;0.006346;0.002323;0;0.004373;0.00351;0.003559;0.008235;0.007784;0.00305;0.005383;0.009913;0.004419;0.006229;0.005786;0.006184;0;0.007301;0.007345;0.010939;0.011192;0.006787;0.007703;0;0.005749;0.005202;0.004865;0.008999;0;0.005015;0.010906;0.012532;0.006397;0;0;0;0.005005;0.003717;0.003386;0.004841;0.005578;0.007145;0.005393;0.004557;0;0.003854;0;0.005877;0.00242;0.007603;0.003319;0.008868;0;0.004703;0.008533;0.006052;0;0.018197;0.02516;0;0.010771;0.002692;0.002507;0.0064;0.009417;0.00544;0.004111;0.009678;0.004145;0;0.005949;0.005217;0.008075;0;0;0.013972;0.006412;0.020208;0.008661;0.007777;0;0.014218;0;0;0.013882;0;0.004475;0;0.008834;0.007507;0.014227;0.010059;0.00329;0.007298;0.008614;0.007173;0.006948;0;0;0.024718;0.004722;0.003871;0.005896;0.006115;0.001933;0.003794;0.006391;0.007025;0.003198;0;0.008224;0.003731;0;0.004481;0.005846;0.008478;0;0.010046;0.006721;0.007983;0.005968;0.005987;0.003737;0.007;0.00567;0.007857;0.006471;0.003291;0.006391;0.0046;0.009588;0.005129;0.005236;0.004066;0;0.004187;0.007016;0.00527;0.003708;0.005059;0.007005;0.004618;0.005671
6;0.001823;0.001308;0.018943;0.002533;0;0.006213;0;0;0.003095;0.003109;0.002264;0.003543;0;0.003251;0.004052;0.031056;0.001489;0.004569;0.003644;0.001317;0;0.004723;0.003058;0;0.002251;0.003325;0.002601;0.002932;0.001044;0.004427;0;0.002313;0;0.012708;0.001893;0;0;0;0.003519;0.003163;0;0.006386;0.005004;0.002919;0.002901;0.00341;0.001853;0.002312;0.002213;0.005217;0;0.001902;0.004997;0.009904;0.003674;0.006974;0;0.003864;0.00367;0.0044;0.002197;0.003472;0.002333;0.002139;0.003551;0.002319;0.004726;0.001802;0.004838;0;0.003082;0.002994;0;0.004149;0.004722;0;0.003849;0.002428;0.010952;0.012818;0.01206;0.00528;0.007286;0.000953;0.002365;0.002591;0;0;0.001725;0;0;0.0019;0.003042;0.002297;0.004925;0.009584;0;0;0.002229;0;0.004042;0.004164;0.01017;0;0.003249;0.002375;0.004908;0;0.00114;0;0.00375;0.003221;0.010094;0.004501;0;0.003846;0.003867;0.001843;0;0;0.003864;0;0.002203;0.001599;0.002924;0;0.000773;0.001247;0;0.003328;0.00141;0.003064;0.003373;0.002129;0.002233;0.001856;0.002784;0.004276;0.003833;0.004645;0.002353;0.002858;0.00216;0;0;0;0.001804;0.00449;0.002215;0.001904;0.00274;0.001509;0.005023;0;0.001744;0.001549;0;0;0.003029;0.002291;0;0.002263;0.002077;0.001357;0.002141
7;0;0;0.014138;0;0.0084;0.005018;0;0;0.002099;0.001611;0.002071;0.002862;0;0.003209;0.003327;0.031152;0.001796;0.003949;0;0;0.004354;0.004877;0.003703;0.002489;0.002008;0.001881;0.002077;0;0.001686;0.004731;0.002561;0.001509;0.004588;0;0.002783;0.002205;0.003376;0.00342;0.002406;0.002419;0;0.005245;0.005198;0.002263;0;0.003608;0.003268;0.002352;0.002923;0.004596;0.004802;0.001345;0.004513;0.008322;0.003818;0.00488;0;0.004707;0.002853;0.004661;0.001743;0;0.003114;0.002945;0.00467;0.001912;0.003954;0;0.004123;0;0.002181;0.004457;0;0.003854;0.003723;0.002766;0.004597;0.00243;0.008623;0.012363;0;0;0.008306;0.001809;0.00201;0;0;0.002902;0.002174;0.004005;0;0.002651;0.002451;0.001528;0.00365;0.011736;0.008925;0.006022;0.002068;0.011643;0.004759;0.004631;0;0.009763;0;0.003068;0.005548;0.005272;0.002015;0.00292;0.004718;0.003304;0.010675;0.003665;0.00113;0.003211;0.004585;0.002672;0;0.001894;0;0.011603;0.001933;0.001326;0.002656;0.002408;0.001172;0.000819;0.001978;0.002577;0;0.003154;0.002961;0.001344;0.00206;0.001982;0.003609;0.004697;0;0.003962;0.002259;0.002884;0.002341;0.001738;0.001503;0.004283;0.001586;0.003695;0.002228;0.001588;0;0.001416;0.004409;0.003225;0.001852;0.002398;0.003052;0;0.002869;0.002355;0.001817;0.00201;0;0.001984;0.002462
8;0.002531;0;0;0.002026;0;0.006656;0.00232;0.002727;0;0.003162;0;0.002756;0.004788;0.003871;0.004847;0;0;0.005792;0.004694;0.001621;0.004273;0;0.004217;0;0.002051;0.003808;0.002775;0.002959;0;0.005505;0.005243;0;0;0.013003;0.002604;0.002826;0.003765;0;0;0;0;0;0.005917;0.002532;0.002662;0.004754;0;0.002126;0.003173;0.006796;0;0.003388;0.005415;0.008586;0;0.00796;0.006943;0.005615;0.002836;0.00309;0.003228;0;0;0.003467;0.005292;0.002943;0.005447;0.001874;0.005133;0;0.002163;0.004699;0.002089;0.00583;0;0.003415;0;0.003213;0;0.012695;0;0.005671;0.00886;0.001886;0;0.00363;0.011777;0;0.003261;0.005295;0.005811;0.00232;0.003133;0.002914;0;0;0;0.006987;0.002688;0;0;0.00459;0;0.011846;0;0.003926;0.00694;0.007491;0.001972;0;0.005574;0.003551;0;0.005096;0.001309;0;0;0.002973;0;0.002933;0.005892;0;0;0;0;0;0.001294;0;0;0.003275;0.002395;0;0.003909;0;0;0;0.003863;0;0;0.005257;0.00325;0;0.002853;0;0.002465;0.005279;0;0.004191;0;0.001555;0.002264;0;0.006372;0.003848;0.002381;0.001721;0.003265;0.001976;0.003229;0.002442;0.002684;0.002735;0.003301;0.002202;0
9;0.003219;0.00185;0;0.002509;0;0.007054;0.002125;0.002424;0.003133;0;0.002821;0;0.002576;0.003731;0.003504;0;0.002555;0;0.004384;0;0.004104;0.006063;0.004333;0;0.002295;0.003399;0.003011;0.004094;0;0.004782;0.004828;0;0;0.015811;0.003005;0.002419;0.00408;0.004569;0;0.002975;0;0;0.006885;0.002883;0.00352;0;0;0.002297;0.002787;0;0;0.001547;0;0.009847;0.003818;0.008035;0.007196;0;0;0;0;0.003526;0.003427;0.003139;0.004185;0.002809;0;0.002634;0;0.004584;0.002913;0.00472;0.00233;0;0;0.004117;0;0;0.014374;0;0.015827;0;0.007091;0;0.002088;0.003501;0;0.002963;0;0.006946;0;0.002844;0;0;0.003739;0.012435;0;0;0;0;0.005775;0;0;0;0.004745;0;0;0.007317;0.002159;0.003787;0.005161;0;0.009426;0.005425;0.001121;0.00334;0.006068;0.002024;0.004472;0.001963;0.004937;0;0;0.002253;0.002599;0.003273;0;0.001265;0;0.003505;0.001823;0.003871;0.003329;0.002049;0.003116;0.0027;0.003782;0.004505;0.003569;0.005307;0.003244;0.002514;0.003437;0.003174;0;0.00554;0.002136;0.005006;0.002981;0.002639;0.002283;0.001861;0.005501;0.00289;0;0.002673;0.002672;0.001564;0;0.002016;0.002107;0.001914;0.003484;0.001607;0.003085
