;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230
0;0;0.005633;0.003148;0;0.01171;0;0.020872;0.005282;0;0.007419;0;0;0;0;0.002367;0;0;0;0.003542;0.003897;0.00908;0;0.001677;0.004871;0.003694;0.002595;0.006612;0.007619;0;0;0.002607;0.002765;0.001746;0;0.005509;0.004017;0;0.007299;0.003139;0;0;0.002103;0.003737;0.00241;0;0.003255;0.004408;0.004303;0.003367;0.003458;0.005269;0.003724;0.003709;0.003594;0;0;0.002421;0;0.003906;0.003945;0.005774;0.012463;0.004071;0.004199;0.00401;0.002976;0.004417;0.007543;0;0;0.00282;0.002697;0.003597;0.002496;0;0;0;0;0;0.005715;0.00357;0;0.010328;0;0;0.006167;0.00407;0.00558;0.004325;0.006376;0;0.002606;0.002377;0.004904;0.002812;0.003524;0.003651;0;0.002914;0.004003;0.006934;0.003191;0.006765;0.003159;0.007214;0.00552;0;0.003048;0.008846;0.009564;0.005813;0;0.005128;0.003024;0.003257;0.002726;0.002417;0.006669;0;0.003311;0.002726;0.003209;0.002516;0.004053;0.014849;0;0.006398;0;0.006491;0.009469;0.005127;0.006991;0.004021;0;0.005023;0.002297;0.003658;0.003541;0.017473;0;0;0;0.004205;0.002891;0.001864;0.001987;0.002079;0.002257;0.00333;0.002668;0;0;0.003861;0.003253;0.002689;0.001906;0;0;0.00254;0.003092;0;0.002774;0;0.009413;0.001914;0.00301;0.002574;0.001649;0;0.00228;0.00445;0;0.003297;0.002106;0;0.004846;0.002541;0.003302;0.002489;0.002798;0.003389;0.002463;0;0.001846;0.002957;0;0.001662;0.001904;0.003195;0.003213;0.003673;0.003448;0;0;0.002854;0.001615;0;0.002247;0.002767;0.004954;0.003408;0.003382;0;0.004477;0.002518;0.005974;0.001779;0.002569;0;0.002907;0;0.005348;0.002145;0.002503;0.002211;0.002786;0;0.002724;0.003095;0.00864;0.00338;0.002649;0.002761;0.00141;0.003555;0.002539;0.00257;0.002998;0.002228;0;0
1;0.004118;0;0.003815;0;0;0;0;0;0;0;0;0.010964;0;0.003663;0.003029;0;0.005966;0;0;0;0;0;0.002977;0;0;0.003538;0.011443;0;0.01286;0;0;0.003519;0.003079;0.009398;0.007973;0.004969;0.004056;0;0;0;0;0.003444;0;0;0.013237;0.004439;0;0;0;0;0.007413;0.004827;0;0;0;0.006077;0.00421;0;0;0;0;0;0.00529;0;0;0.004695;0;0;0;0;0.004483;0.003363;0.005928;0;0;0.012204;0.007227;0.006433;0;0;0.005256;0;0;0;0;0;0;0;0;0;0;0;0.003307;0;0;0.0047;0;0.004696;0;0;0;0;0;0;0;0;0;0.003433;0;0;0;0;0.00675;0;0;0;0;0;0;0;0;0;0.002687;0.006752;0.01986;0;0.007778;0;0;0;0.008153;0;0.006309;0.013276;0.006492;0.002885;0.005813;0.006277;0.01594;0.010535;0;0;0.004529;0;0.002946;0;0.003004;0.003277;0;0.003412;0;0.004007;0.005704;0.004648;0;0;0.003499;0;0;0.003267;0;0;0;0;0;0.003664;0.003413;0.002016;0;0.003928;0;0;0;0;0;0.007108;0.003103;0;0;0.004206;0.004437;0.003925;0;0.002368;0.003749;0;0;0.003783;0.004709;0.004099;0;0;0.002549;0;0;0;0;0.004084;0.003397;0.006693;0.004282;0.003421;0;0;0.00348;0.00716;0.003014;0.002987;0.001915;0;0.003188;0.007311;0.003828;0.003657;0.002779;0.003912;0;0.002984;0.004295;0.010543;0.004237;0;0.003791;0.002314;0;0;0.003453;0.004083;0;0.005645;0.004302
2;0.002737;0.004696;0;0;0.012286;0.008924;0.018655;0;0.004611;0;0.003088;0.006509;0.004612;0;0.001784;0.003351;0.003109;0.007961;0.002717;0.004464;0.0088;0.003191;0.00199;0.004146;0.003096;0.001937;0;0.006162;0.007294;0;0;0.001838;0.001784;0.005956;0.004382;0.002496;0.001599;0.007949;0.003114;0;0.005135;0;0.004188;0;0.009296;0;0;0.004072;0;0;0;0.002666;0.003782;0;0.003133;0;0;0.005041;0.00222;0;0;0;0.002538;0.003878;0.004025;0.002482;0;0;0;0.00461;0.002454;0.001774;0;0.002291;0.008642;0.007049;0;0.00394;0.004509;0.00423;0;0;0.010116;0.007238;0.007629;0.00604;0.003119;0;0.003375;0.005881;0.008345;0;0;0;0.001917;0;0.002611;0;0;0.003647;0;0.004089;0.007494;0.0032;0.006058;0;0;0.002615;0.009957;0.007006;0.006157;0.010454;0.005245;0;0.003394;0.002564;0.002654;0.006242;0;0;0.002194;0;0.001697;0;0.014076;0.016874;0.006206;0.004265;0.006819;0;0.005013;0;0.00306;0.008734;0;0.001711;0.002892;0;0.013731;0;0.003881;0.002763;0;0;0.001343;0.001027;0.001776;0.001608;0.00228;0.002085;0.004657;0.002452;0.003889;0.002347;0;0.00174;0.001953;0.001827;0.001595;0.002044;0;0.00191;0.003699;0.007922;0;0.002319;0.001721;0.001379;0.00404;0.001664;0;0.001967;0.002598;0.001863;0.00127;0.004007;0;0;0.001685;0;0.003551;0.003073;0.001603;0.001154;0.00145;0.00919;0;0;0;0.00255;0.002698;0.003091;0.001771;0.0022;0.002558;0.001122;0.005055;0.002813;0.002506;0.002956;0;0.002032;0.002151;0.003688;0.001681;0.004648;0.001319;0.002308;0.000925;0.002808;0.001811;0;0.001807;0.001352;0.001496;0.002224;0.004347;0.002537;0.002411;0;0.00277;0.001415;0.001981;0.001238;0.003071;0.002161;0;0.003335;0.002389;0.003447;0.002495
3;0;0;0;0;0.014964;0;0;0.006647;0;0;0;0.00853;0;0.003269;0.002323;0;0.004484;0.008426;0;0.005696;0.009387;0;0.002166;0;0;0.002867;0.007351;0;0;0;0;0.003351;0;0.007435;0;0.004796;0.003508;0;0.003296;0.006362;0;0.002802;0;0;0.007897;0;0.004763;0;0;0.005579;0.005143;0;0;0.004967;0.004638;0;0.003096;0.005952;0.004089;0.004935;0;0;0.004902;0.005645;0;0.003691;0;0.009629;0;0;0.003642;0;0.004988;0.003755;0;0.00933;0;0;0;0.006694;0.004553;0;0.011307;0;0.010445;0;0;0;0.004046;0.006842;0.010878;0;0.002408;0;0.003455;0;0;0.003478;0;0.004368;0;0.005105;0;0;0;0;0;0.002611;0;0;0.007161;0;0.004996;0;0;0.003789;0.003481;0;0;0;0;0;0.0023;0.005037;0.015822;0;0.00751;0;0;0;0;0;0.005201;0;0;0.002835;0;0.005192;0.012217;0;0;0;0.003827;0.003763;0.001616;0.00266;0;0.003022;0.002836;0;0.006213;0.002933;0.005667;0;0;0;0.003704;0;0.003041;0.003237;0.004653;0;0;0.01109;0;0;0.00273;0.002;0;0.002895;0.005065;0.00292;0.003844;0.002576;0.002277;0;0.002866;0;0.002242;0.004075;0.004192;0.003515;0.003205;0.001993;0.002824;0;0.002418;0.002891;0.004114;0.003539;0.004002;0;0.002733;0.003363;0.004496;0.001788;0;0.002796;0.002925;0.004686;0.003663;0.002745;0;0.00451;0.002911;0.006692;0.002669;0.002759;0.001295;0.00398;0.002348;0;0.002829;0.002673;0.00215;0;0;0.002584;0.003401;0;0.003687;0.002443;0.002742;0.002005;0;0;0.002666;0.004599;0.002515;0.004843;0.002621
4;0.009449;0;0.007599;0.013162;0;0;0;0;0.009043;0;0.011471;0;0;0.005357;0.005044;0.008491;0;0;0.006881;0;0;0;0.00515;0;0;0.004174;0.020089;0;0.019354;0;0.004861;0.006578;0.004792;0;0;0.008388;0;0;0;0;0.013211;0;0;0.006821;0.024502;0.007722;0.010967;0;0.00768;0.010616;0.011124;0.007773;0.00999;0;0;0.01073;0.007652;0.013423;0;0.011269;0;0;0;0;0;0.006492;0;0.022268;0;0;0.006689;0.005951;0;0.00632;0;0.021649;0.012579;0.009536;0;0;0.008619;0;0;0.020301;0.023102;0;0.009483;0;0;0;0;0.005818;0.005946;0.011505;0.007669;0.008531;0;0;0.007195;0.009463;0.016245;0;0;0.008543;0.017163;0.013958;0;0.006613;0;0.023409;0.014848;0;0.013221;0.00789;0.009447;0.006948;0.007357;0;0;0.004956;0;0.006732;0.005462;0.009217;0.034292;0;0;0;0.015609;0.019246;0.013731;0;0;0.023112;0.010439;0;0.009319;0.012434;0.039464;0.019513;0;0.007533;0.009162;0.008201;0.004272;0.00505;0.004229;0.004806;0.005312;0.006898;0.012795;0;0;0.006715;0.007101;0;0.007699;0;0.004547;0;0;0.007079;0;0;0;0;0.004875;0.003853;0.013393;0.006436;0.010431;0.005097;0.006661;0.005539;0.003664;0.011062;0.006517;0;0.006504;0.006948;0.00956;0.006308;0.007121;0.003263;0.005859;0.022887;0.003764;0.005508;0.008031;0.007211;0;0.007982;0.005232;0.005209;0.007604;0;0.013752;0.006329;0.00523;0;0.007042;0.006716;0.005809;0.009756;0.006383;0.012078;0.006132;0.006067;0.003305;0;0.004897;0;0.005599;0.004029;0.004763;0.006275;0;0.005201;0.006179;0;0.007783;0;0.00645;0.004064;0;0.006039;0.004944;0.008244;0.006435;0.009356;0.007502
5;0.008221;0.012419;0.006134;0.010305;0.025548;0;0.038027;0.010549;0.009213;0.015711;0.008014;0.014548;0;0.004654;0;0.007102;0.006505;0.015552;0.005278;0.009982;0;0.007853;0.004832;0;0.007993;0.004471;0.015312;0.012397;0.016473;0;0.004145;0;0;0;0;0.00643;0.00538;0.01814;0;0.009991;0.010678;0.005187;0.009192;0.005806;0.019197;0.00649;0;0.007729;0.006088;0.009177;0.008579;0.006411;0.008566;0.006781;0;0.009712;0.005931;0.011135;0.00695;0.008219;0.010993;0;0.00839;0;0.008912;0.006115;0.009882;0;0;0.00825;0.005131;0.004116;0.007297;0.005502;0.017703;0;0.010393;0.007913;0.009134;0;0.007524;0.008877;0;0;0;0.01323;0;0.010416;0.007462;0;0.019213;0.006008;0.004798;0.009422;0.005523;0.006767;0;0.00669;0.007285;0.007169;0.013271;0;0.015677;0.005954;0.01387;0.0121;0.007699;0.005855;0;0;0.012438;0;0.012664;0.005695;0;0.005168;0.005722;0.010997;0.006944;0;0.00522;0;0.004953;0.009234;0.026776;0.036845;0.012815;0.009694;0.012428;0;0.011349;0.013967;0.009723;0.020142;0.008794;0.003421;0.00824;0.01047;0.029658;0.015275;0;0.005506;0.007731;0.006428;0;0.003846;0;0.004149;0.005451;0;0.010689;0.006138;0.008113;0;0;0.004046;0.00442;0.003877;0.005223;0.005627;0.007252;0.005034;0.007455;0.017212;0;0.005789;0.003895;0.003415;0.012169;0.004591;0.008419;0.004277;0.00622;0.004045;0;0.010727;0.00512;0;0.00497;0.006045;0.005529;0.004993;0.006144;0.002662;0.005171;0.017543;0.003549;0.005072;0.006269;0.00615;0.006298;0.007378;0.004048;0.005038;0.005764;0.003519;0.011662;0.004913;0.005307;0.008769;0;0.004858;0;0.008621;0.005868;0.011369;0.004405;0.005212;0;0.006167;0.00342;0;0.004862;0.005158;0;0.005181;0;0.004349;0.005837;0.015091;0.006369;0.004764;0.00534;0;0.007428;0.005087;0.005137;0.007556;0.005404;0.008634;0.00531
6;0;0;0.011599;0;0;0.034651;0;0;0.015589;0;0;0.023538;0;0.009569;0.00802;0.013322;0.016531;0.024103;0;0.015689;0;0;0.008625;0.015803;0.013726;0;0.025808;0.023248;0.031626;0;0.009135;0.009123;0.008404;0;0;0.012578;0;0;0;0;0;0.009638;0;0;0.028566;0;0.016374;0.012152;0.011729;0.017342;0.018357;0.011059;0;0;0;0.018315;0.011025;0.017984;0;0;0.017051;0;0.014867;0;0;0.011791;0;0.03201;0;0.012809;0.010784;0;0.014363;0.011243;0;0;0.018582;0.015089;0;0;0.013083;0;0;0.028146;0;0;0;0;0;0;0;0;0.010572;0;0;0.013534;0.012176;0.012153;0;0.012896;0;0.014878;0;0;0;0.023011;0.014304;0.009555;0;0;0;0.037524;0.020338;0;0;0;0.012837;0;0;0;0;0.008518;0.009165;0.01656;0.0494;0;0.023747;0;0.024102;0.030933;0.020977;0;0.016329;0.03631;0.017838;0.008891;0.015346;0.015133;0.042751;0.02974;0;0.011322;0.01094;0.012017;0.007004;0.007971;0;0.007838;0.01177;0.009553;0.020401;0.012952;0.017575;0.010013;0.01018;0;0;0;0.008769;0;0.01217;0;0.014381;0.030544;0.009679;0;0.007991;0.006782;0;0;0.016931;0.008274;0.011347;0;0;0.017777;0.008532;0;0;0.011784;0;0.009938;0;0.005458;0.008084;0;0.007131;0.009331;0.012359;0.011099;0;0;0.007015;0.008978;0;0;0.020665;0.010587;0.008931;0.017789;0.016013;0.010289;0;0.016563;0.010644;0.022062;0.008453;0.010953;0.005611;0.012192;0;0.018898;0.009949;0.00821;0.007165;0.010399;0;0;0.010251;0.030145;0;0.008757;0.009842;0.00638;0;0.009863;0.008411;0;0.008992;0.014235;0
7;0.004569;0;0;0.007083;0;0.014272;0.028197;0;0;0;0.006163;0.010345;0.006588;0.003269;0.002206;0.003786;0.005218;0.01198;0;0.005597;0;0;0.002119;0.005392;0;0.002321;0;0;0.010269;0;0.002306;0.003153;0.002273;0;0.007617;0.004016;0;0.012855;0;0;0;0.00272;0;0.003506;0;0.003682;0.005489;0.005396;0;0;0.006381;0.004308;0;0;0;0.006483;0.004019;0;0;0.006673;0;0;0.00479;0;0;0;0;0.012899;0;0;0.00357;0.002754;0.005276;0.003972;0;0;0.006801;0.005343;0;0.007391;0;0;0;0;0.013558;0;0;0.008683;0;0;0;0;0.002466;0;0.00362;0;0;0;0.003891;0.004554;0;0.005011;0.0126;0;0;0;0;0.003815;0.013138;0;0;0;0.007484;0;0;0;0.003824;0;0;0;0;0;0.002384;0.005824;0.016953;0;0.008026;0;0.009809;0;0;0;0.004552;0.011639;0;0.002812;0;0.006521;0.020852;0;0;0;0.004034;0;0.002356;0.002445;0.002042;0.002297;0.002661;0;0.006527;0.003671;0.004251;0;0;0;0.003254;0;0.003114;0;0.004556;0.003112;0;0;0;0.002415;0.00263;0.001695;0;0;0;0.002558;0.003417;0;0.001817;0.004855;0;0;0;0.0031;0.005269;0.003702;0.003441;0;0.002211;0.013249;0;0.002629;0.004162;0;0;0;0.002195;0.002852;0.004333;0.001957;0.005829;0;0.002519;0;0.003927;0.003135;0.002937;0.005368;0;0;0.002896;0.001886;0.001567;0.003302;0.001877;0;0;0.002945;0.002021;0.002938;0;0.002559;0.003963;0.008742;0;0.002415;0.002812;0;0;0;0;0.004206;0;0.003945;0.003417
8;0;0.007369;0;0;0.012449;0.011707;0;0;0;0.008607;0;0.006427;0;0;0.003029;0;0.004999;0;0;0.006143;0.008219;0;0.002644;0;0;0.002508;0;0;0;0.058271;0.003032;0;0;0.007867;0;0;0.002464;0.009871;0;0;0;0.002951;0;0.003367;0.009451;0;0.0052;0.004564;0.004141;0.005961;0;0.004258;0.004544;0.004817;0;0;0.003596;0.006128;0.003892;0.004204;0;0.01225;0.004919;0;0.005533;0;0;0;0;0.005038;0.003736;0.003237;0.004962;0.003062;0.00802;0.008273;0;0;0.005636;0;0;0.005781;0;0;0.009436;0;0;0;0;0.005732;0;0;0.003165;0.004308;0.004126;0.004718;0.00425;0.003187;0;0.003797;0;0;0.00694;0;0.007246;0.007648;0;0.003264;0.011192;0;0;0.012867;0.006664;0;0.005215;0;0;0;0;0;0.003968;0.002824;0.002958;0.005981;0.015635;0;0;0.006339;0;0;0.006821;0;0.005684;0.011812;0.006167;0.003419;0;0.004279;0.013103;0.009509;0;0.003479;0.004366;0.004455;0.002168;0.002742;0.002724;0;0.002734;0.002729;0;0.002941;0;0;0;0;0.00294;0;0;0.002971;0;0;0;0.009605;0;0.003194;0;0.002206;0;0.003272;0;0;0;0.0035;0.002192;0.00582;0.002654;0;0.002142;0.004483;0.004842;0.003233;0.003716;0;0.003326;0;0.002292;0.003301;0.004632;0.003977;0;0;0.002875;0;0.003837;0.002451;0.006999;0.003235;0.003599;0.005556;0.00503;0.002926;0;0.005509;0.003025;0;0.00282;0.002806;0.002182;0.003918;0;0.006067;0.00318;0.002811;0.002179;0.003931;0;0.002293;0.003763;0;0.004586;0.002847;0.00245;0.002233;0.004381;0;0.003266;0.003539;0;0;0.002625
9;0.005823;0;0.004706;0;0;0.016391;0;0;0.007157;0;0;0.011563;0;0.004074;0.004057;0;0;0;0.00542;0.008305;0;0;0.003882;0;0;0.00411;0.011398;0.011284;0;0;0;0.004814;0.003892;0;0;0.005419;0.004551;0;0;0;0;0;0.008046;0.004798;0.01649;0;0;0.006466;0.004662;0.008075;0.008311;0.005053;0.007382;0;0;0.008455;0.005388;0;0;0.007854;0.009144;0;0;0;0;0;0;0.015221;0;0;0.004682;0;0;0;0;0.014488;0;0.006936;0;0;0;0;0;0;0.01537;0;0;0;0.006536;0.011483;0;0;0.004742;0;0;0.005917;0;0.00598;0;0.00687;0;0;0;0;0;0;0;0.004835;0;0;0.010962;0;0.008181;0;0;0.00473;0.00563;0;0.006649;0.004881;0;0.004958;0.003303;0;0.02214;0;0.010905;0;0;0.013692;0.009368;0;0;0.015707;0.007538;0;0.006706;0.006;0.022341;0;0;0.005198;0;0;0.003254;0.003742;0.004129;0.003639;0.003948;0.003618;0.009019;0.004646;0.007159;0.004801;0;0;0.004151;0;0.004032;0.003822;0.006313;0;0;0;0;0.004906;0.003908;0.002427;0;0.004422;0.008091;0;0;0;0.003597;0.008402;0;0;0.003823;0;0.005924;0.003711;0;0.002073;0.003476;0;0;0.003714;0.005013;0.004607;0;0.005686;0.003374;0.003869;0.005051;0;0.00989;0;0.003096;0;0.005623;0.004393;0;0.006992;0.003576;0.008749;0.003816;0.003241;0.001904;0;0.003206;0.0064;0.004593;0.004306;0.003545;0;0;0.003236;0.00409;0;0.005473;0.003197;0.003707;0;0;0;0.004035;0.005466;0;0;0.004507
