Id,Label,timeset,region,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,Clustering Coefficient
LS,LS,,basal ganglia,0,1,1,0,0.001128,0.001128,5,0.333333,0.456667,0,0,0,0
MOs,MOs,,non-visual cortex,1,1,2,0.000504,0.000467,0.000971,3,0.5,0.611111,3,0,0,0
ACA,ACA,,non-visual cortex,2,1,3,0.001616,0.000416,0.002032,3,0.5,0.611111,9,0,0,0
VISp,VISp,,visual cortex,0,1,1,0,0.000815,0.000815,3,0.5,0.611111,0,0,0,0
CA3,CA3,,hippocampal,5,1,6,0.003638,0.0007,0.004338,2,0.666667,0.75,22,0,0,0
SUB,SUB,,hippocampal,0,1,1,0,0.000873,0.000873,3,0.5,0.611111,0,0,0,0
DG,DG,,hippocampal,2,1,3,0.001502,0.000715,0.002218,2,0.666667,0.75,6,0,0.316228,0
root,root,,,4,1,5,0.004006,0.000674,0.00468,1,1,1,4,0,0.316228,0
MOp,MOp,,non-visual cortex,0,1,1,0,0.001549,0.001549,3,0.5,0.611111,0,0,0,0
PT,PT,,thalamus,0,1,1,0,0.000614,0.000614,3,0.5,0.611111,0,0,0,0
LSc,LSc,,basal ganglia,0,1,1,0,0.001705,0.001705,2,0.666667,0.75,0,0,0,0
CP,CP,,basal ganglia,1,1,2,0.000817,0.001011,0.001828,1,1,1,0,0,0,0
LSr,LSr,,basal ganglia,5,1,6,0.002471,0.000479,0.00295,2,0.666667,0.75,22,0,0,0
LGd,LGd,,thalamus,1,1,2,0.002082,0.000474,0.002556,3,0.5,0.611111,6,0,0,0
PL,PL,,non-visual cortex,0,1,1,0,0.000784,0.000784,2,0.666667,0.75,0,0,0,0
MD,MD,,thalamus,0,1,1,0,0.001691,0.001691,4,0.4,0.520833,0,0,0,0
CA1,CA1,,hippocampal,2,1,3,0.005481,0.000838,0.006319,2,0.666667,0.75,4,0,0.316228,0
VISam,VISam,,visual cortex,6,1,7,0.004039,0.000784,0.004823,1,1,1,28,0,0,0
