Id,Label,timeset,region,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,Clustering Coefficient
root,root,,,0,1,1,2,0.666667,0.75,0,0,0.377964,0
LS,LS,,basal ganglia,1,1,2,1,1,1,0,0,0,0
MOs,MOs,,non-visual cortex,3,1,4,3,0.5,0.611111,12,0,0,0
ACA,ACA,,non-visual cortex,1,1,2,7,0.25,0.370408,14,0,0,0
VISp,VISp,,visual cortex,0,1,1,2,0.666667,0.75,0,0,0.377964,0
SUB,SUB,,hippocampal,1,1,2,5,0.333333,0.456667,20,0,0,0
DG,DG,,hippocampal,4,1,5,1,1,1,3,0,0.377964,0
CA3,CA3,,hippocampal,3,1,4,2,0.666667,0.75,6,0,0,0
LSc,LSc,,basal ganglia,0,1,1,4,0.4,0.520833,0,0,0,0
MOp,MOp,,non-visual cortex,0,1,1,3,0.5,0.611111,0,0,0,0
PT,PT,,thalamus,0,1,1,4,0.4,0.520833,0,0,0,0
CP,CP,,basal ganglia,2,1,3,3,0.5,0.611111,6,0,0,0
LGd,LGd,,thalamus,0,1,1,3,0.5,0.611111,0,0,0,0
PL,PL,,non-visual cortex,1,1,2,2,0.666667,0.75,18,0,0,0
VISam,VISam,,visual cortex,6,1,7,1,1,1,21,0,0,0
MD,MD,,thalamus,0,1,1,4,0.4,0.520833,0,0,0,0
CA1,CA1,,hippocampal,1,1,2,2,0.666667,0.75,4,0,0.377964,0
LH,LH,,thalamus,1,1,2,1,1,1,0,0,0,0
ZI,ZI,,midbrain,0,1,1,4,0.4,0.520833,0,0,0,0
MB,MB,,midbrain,1,1,2,4,0.4,0.520833,12,0,0,0
SCs,SCs,,midbrain,0,1,1,9,0.2,0.31433,0,0,0,0
SCm,SCm,,midbrain,0,1,1,5,0.333333,0.456667,0,0,0,0
MRN,MRN,,midbrain,1,1,2,5,0.333333,0.456667,5,0,0,0
RN,RN,,midbrain,0,1,1,5,0.333333,0.456667,0,0,0,0
MS,MS,,basal ganglia,1,1,2,4,0.4,0.520833,4,0,0,0
ORB,ORB,,non-visual cortex,1,1,2,6,0.285714,0.408333,18,0,0,0
PAG,PAG,,midbrain,0,1,1,2,0.666667,0.75,0,0,0,0
RSP,RSP,,non-visual cortex,2,1,3,5,0.333333,0.456667,10,0,0,0
GPe,GPe,,basal ganglia,3,1,4,4,0.4,0.520833,28,0,0,0
BLA,BLA,,cortical subplate,0,1,1,6,0.285714,0.408333,0,0,0,0
VPM,VPM,,thalamus,0,1,1,6,0.285714,0.408333,0,0,0,0
SSs,SSs,,non-visual cortex,0,1,1,3,0.5,0.611111,0,0,0,0
TH,TH,,thalamus,3,1,4,3,0.5,0.611111,24,0,0,0
RT,RT,,thalamus,0,1,1,4,0.4,0.520833,0,0,0,0
LD,LD,,thalamus,1,1,2,4,0.4,0.520833,20,0,0,0
MEA,MEA,,cortical subplate,0,1,1,2,0.666667,0.75,0,0,0,0
VPL,VPL,,thalamus,3,1,4,1,1,1,11,0,0,0
SI,SI,,basal ganglia,0,1,1,3,0.5,0.611111,0,0,0,0
ACB,ACB,,basal ganglia,0,1,1,2,0.666667,0.75,0,0,0,0
OT,OT,,basal ganglia,0,1,1,6,0.285714,0.408333,0,0,0,0
SNr,SNr,,basal ganglia,3,1,4,5,0.333333,0.456667,15,0,0,0
APN,APN,,midbrain,0,1,1,6,0.285714,0.408333,0,0,0,0
POL,POL,,thalamus,0,1,1,2,0.666667,0.75,0,0,0.377964,0
